242	L_ 118 / B_ {#akzaH#} / S_ {#--dyUtaH#} / S_M_ ({#--taM#} / S_M_S_ {#°tAdigaRaH#}	akzadyUtatAdigaRaH
243	L_ 118 / B_ {#akzaH#} / S_ {#--dyUtikaM#}	akzadyUtikaM
244	L_ 118 / B_ {#akzaH#} / S_ {#--drugDa#}	akzadrugDa
245	L_ 118 / B_ {#akzaH#} / S_ {#--DaraH#}	akzaDaraH
246	L_ 118 / B_ {#akzaH#} / S_ {#--DUH#}	akzaDUH
247	L_ 118 / B_ {#akzaH#} / S_ {#--DUrtaH#}	akzaDUrtaH
248	L_ 118 / B_ {#akzaH#} / S_ {#--DUrtilaH#}	akzaDUrtilaH
249	L_ 118 / B_ {#akzaH#} / S_ {#--pawala#}	akzapawala
250	L_ 118 / B_ {#akzaH#} / S_ {#--pawala#} / S_M_ ({#--laH#}	akzapawalaH
251	L_ 118 / B_ {#akzaH#} / S_ {#--pari#}	akzapari
252	L_ 118 / B_ {#akzaH#} / S_ {#--pAwaH#}	akzapAwaH
253	L_ 118 / B_ {#akzaH#} / S_ {#--pAwakaH#}	akzapAwakaH
254	L_ 118 / B_ {#akzaH#} / S_ {#--pAtaH#}	akzapAtaH
255	L_ 118 / B_ {#akzaH#} / S_ {#--pAdaH#}	akzapAdaH
256	L_ 118 / B_ {#akzaH#} / S_ {#--pIqA#}	akzapIqA
257	L_ 118 / B_ {#akzaH#} / S_ {#--BAgaH#}	akzaBAgaH
258	L_ 118 / B_ {#akzaH#} / S_ {#--BAraH#}	akzaBAraH
259	L_ 118 / B_ {#akzaH#} / S_ {#--madaH#}	akzamadaH
260	L_ 118 / B_ {#akzaH#} / S_ {#--mAtraM#}	akzamAtraM
261	L_ 118 / B_ {#akzaH#} / S_ {#--mAlA, --sUtraM#}	akzamAlA,akzasUtraM
262	L_ 118 / B_ {#akzaH#} / S_ {#--rAjaH#}	akzarAjaH
263	L_ 118 / B_ {#akzaH#} / S_ {#--vAmaH#}	akzavAmaH
264	L_ 118 / B_ {#akzaH#} / S_ {#--vAwaH#}	akzavAwaH
265	L_ 118 / B_ {#akzaH#} / S_ {#--vftta#}	akzavftta
